x,y,ROI_ID,mean_cloud_annual,intra_cloud_annual,elevation,forest_prob,sveg_prob,cropland_prob,builup_prob,snow_prob,water_prob,var_snow_lt_p90,direct_normal_irradiation
-69.78523910763668,-49.00793578765833,ROI_0001,63.63992978249699,4.704598390135297,451.30229295839405,0.9829937355498859,0,0,0,0.017006264450114057,0,4.5204113519690114,NA
-69.96089727682404,-42.91051002989629,ROI_0002,52.80069126620901,10.267879481311978,1104.4160695832552,1,0,0,0,0,0,2.5547582079215947,5.682357906113601
-68.95441137489112,-22.021116784617675,ROI_0004,11.294544358727103,5.0769226133076195,3149.6032240134637,1,0,0,0,0,0,0,9.743370117487984
-80.46387508672932,-5.986082050169788,ROI_0005,42.88757305404708,13.174816395138352,17.43102509675503,1,0,0,0,0,0,0,4.633592684187553
-74.97073101622675,-15.111376479073686,ROI_0006,18.00893857555584,10.666271825147598,817.5021152078901,0.9991778632937189,0,8.221367062810472e-4,0,0,0,0,6.193032703567692
-114.23576384046329,31.899994686391494,ROI_0007,16.107263297285364,6.721263517987197,76.75947739740688,1,0,0,0,0,0,0.03406457553454933,7.75123331551305
-110.41263303597363,38.44681202185165,ROI_0009,29.712251783893986,5.778960244648318,1661.706713160625,1,0,0,0,0,0,12.985871060378576,6.57963019572202
-13.561177958961204,19.354257735633503,ROI_0010,24.128846908734054,6.474650392541709,89.80779171434739,1,0,0,0,0,0,0,4.770074697017429
3.339779718009309,30.47161460398144,ROI_0011,18.609771223505664,7.477118986206124,386.27275273741174,1,0,0,0,0,0,0.05364026994481524,5.871298484945493
22.50001049277728,31.075398354190465,ROI_0012,21.194576064007116,13.045749527725304,134.08782173484036,1,0,0,0,0,0,0,5.938890415594402
7.866170382170586,34.16611062306588,ROI_0013,23.468533233115004,9.219564050252336,-13.912733825876865,1,0,0,0,0,0,0.49122457066107217,5.279338911570305
37.5293008732403,16.23103118567171,ROI_0014,19.99167978019233,21.59764456100912,587.5029989540186,0.9999228040651379,0,0,0,0,0,0,5.4698461036898625
31.750457239613166,29.403270661900752,ROI_0016,16.24128443487133,13.387340437592105,608.3480499096679,0.9998996452846793,1.0035471532069121e-4,0,0,0,0,0,6.6540367604320965
47.28523988858146,15.141216970642605,ROI_0017,18.39160867938645,12.104739992517771,1461.1943625997233,1,0,0,0,0,0,0,6.882610287874529
55.722683830148554,19.334770675525426,ROI_0018,9.816687355482534,5.925904831446997,191.96143681351967,1,0,0,0,0,0,0,5.895557065259846
46.58422525520437,27.97302678771292,ROI_0019,21.879386347965983,13.06273845093082,332.4553143042318,0.9993978717080758,0,6.021282919241472e-4,0,0,0,0,5.317450898652901
42.45122546710958,35.17661880111692,ROI_0020,27.81575651249335,13.724269005847951,233.05353414015116,0.9999189442683948,8.105573160517368e-5,0,0,0,0,0.3251918347047341,5.2024542244194585
38.49609395596452,34.600212531607646,ROI_0021,23.90272250187425,17.37639284566777,422.7896583439495,0.9928091986675982,0.004805446945163868,0.002385354387237968,0,0,0,0.002527134478953821,6.231098061526656
52.51999142579924,31.77719154652971,ROI_0022,21.02535568093815,12.726138953424051,1603.6319007668008,1,0,0,0,0,0,1.386417099130144,5.995046040789223
54.84384217961188,29.65611815391103,ROI_0023,22.633246416074055,8.456456710689697,1926.2172544328764,0.9999691216260552,3.087837394482806e-5,0,0,0,0,0.34344436387033445,6.389380170945848
54.31639533115871,27.76876711453774,ROI_0024,19.228305709023932,11.385910451197047,966.3504566537557,0.7523670203527082,0.24486936517922966,0.002643960769025903,0,0,0,0.07849407148409228,5.896148504434826
68.11524655476754,32.335922072376064,ROI_0025,24.18248057774372,14.73280337017178,2115.1783469394563,0.9933341310246603,0.006665868975339759,0,0,0,0,7.031002594241991,6.826844751239995
78.75000994830857,32.4873304392113,ROI_0026,46.21116164383562,10.639366575342468,5385.74155129551,0.966141862969496,0,0,0.033780941095641906,7.719593486207016e-5,0,67.03201365255869,6.16671762391254
78.66211082154108,38.420811286330604,ROI_0027,42.69077589722674,14.586170473083197,1225.230384400775,1,0,0,0,0,0,1.612006402193238,2.880431638739266
